"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"48","RT @SAP: We've just scratched the surface on what #machinelearning can do for your org:  https://t.co/ob4WD82uZA https://t.co/uYaGh9aaJB",FALSE,0,NA,2018-01-29 15:14:16,FALSE,NA,"957995317038809089",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","paulaa_1313",17,TRUE,FALSE,NA,NA
"49","RT @DeepLearn007: The year of integration: 5 marketing predictions for 2018
#AI #MachineLearning #Marketing #ML #DigitalMarketing #martech…",FALSE,0,NA,2018-01-29 15:14:11,FALSE,NA,"957995292963454976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ocateslibrayr",145,TRUE,FALSE,NA,NA
"50","#AI and #machinelearning will help businesses to better focus their governance controls to reduce risk more effecti… https://t.co/EhNCKWJYIX",FALSE,1,NA,2018-01-29 15:14:09,TRUE,NA,"957995287536128002",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","juliettesultan",1,FALSE,FALSE,NA,NA
"51","Using AutoML to Generate #MachineLearning Pipelines with TPOT https://t.co/jRYSNYJuqk @mattmayo13 https://t.co/6oJK2BSXmN",FALSE,3,NA,2018-01-29 15:14:04,FALSE,NA,"957995264501051392",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","kdnuggets",2,FALSE,FALSE,NA,NA
"52","#OpenPosition at ISI Foundation - we are searching for Data Scientists to work with Applied #MachineLearning in Fin… https://t.co/IZJSRDT32V",FALSE,1,NA,2018-01-29 15:13:55,TRUE,NA,"957995228107075584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","apanisson",4,FALSE,FALSE,NA,NA
"53","RT @mscavazzin: “How to scale #MachineLearning development across an enterprise.” by @LukeAlxdrJames https://t.co/yy7a06MwDd #AI #dataScien…",FALSE,0,NA,2018-01-29 15:13:53,FALSE,NA,"957995216874672128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LukeAlxdrJames",1,TRUE,FALSE,NA,NA
"54","RT @DeepLearn007: MedyMatch tech for pinpointing brain bleeds gets FDA nod for quick approval
#AI #MachineLearning #DeepLearning #ML #DL #H…",FALSE,0,NA,2018-01-29 15:13:46,FALSE,NA,"957995190198964225",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AzurFlorian",131,TRUE,FALSE,NA,NA
"55","RT @hackthehub: 150+ of the best tech talent in NI. Upskill in #MachineLearning &amp; #AI . Access to business mentorship &amp; investors? What cou…",FALSE,0,NA,2018-01-29 15:13:36,FALSE,NA,"957995146213281794",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gcol67",27,TRUE,FALSE,NA,NA
"56","RT @DeepLearn007: How AI apps are changing the face of the financial sector
#AI #MachineLearning #DeepLearning #Fintech #ML #DL #Banking #t…",FALSE,0,NA,2018-01-29 15:13:35,FALSE,NA,"957995144988516352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wunwuNCYn",188,TRUE,FALSE,NA,NA
"57","How will #AI, #MachineLearning, and #blockchain impact the back office? Join us in London for #OracleMBX and think… https://t.co/RJe33x56qE",FALSE,0,NA,2018-01-29 15:13:22,TRUE,NA,"957995088105189377",NA,"<a href=""http://dynamicsignal.com/"" rel=""nofollow"">VoiceStorm</a>","KrisCarvalho",0,FALSE,FALSE,NA,NA
